     0.360 -28.6730 -28.6903 -28.7090 -28.7300 -28.7535 -28.7803 -28.8108 -28.8457 -28.8851 -28.9311 -28.9825 -29.0414 -29.1078 -29.1822 -29.2640 -29.3538 -29.4505 -29.5529 -29.6591 -29.7684 -29.8793 -29.9894 -30.0977 -30.2028 -30.3027 -30.3973 -30.4858 -30.5674 -30.6426 -30.7107 -30.7727 -30.8288 -30.8793 -30.9249 -30.9665 -31.0035 -31.0375 -31.0682 -31.0962 -31.1217 -31.1451 -31.1662 -31.1856 -31.2035 -31.2197 -31.2347 -31.2486 -31.2613 -31.2733 -31.2843 -31.2944 -31.3039 -31.3125 -31.3207 -31.3283 -31.3353 -31.3419 -31.3483 -31.3539 -31.3596 -31.3648 -31.3696 -31.3742 -31.3786
     0.450 -28.7902 -28.8075 -28.8262 -28.8471 -28.8707 -28.8974 -28.9280 -28.9629 -29.0022 -29.0482 -29.0996 -29.1585 -29.2249 -29.2994 -29.3811 -29.4709 -29.5677 -29.6700 -29.7762 -29.8855 -29.9965 -30.1065 -30.2148 -30.3199 -30.4198 -30.5144 -30.6029 -30.6844 -30.7597 -30.8278 -30.8898 -30.9459 -30.9963 -31.0420 -31.0836 -31.1206 -31.1546 -31.1853 -31.2133 -31.2388 -31.2622 -31.2833 -31.3027 -31.3206 -31.3368 -31.3518 -31.3657 -31.3784 -31.3904 -31.4014 -31.4115 -31.4210 -31.4296 -31.4378 -31.4454 -31.4524 -31.4589 -31.4653 -31.4710 -31.4767 -31.4819 -31.4867 -31.4913 -31.4957
     0.580 -28.9003 -28.9177 -28.9363 -28.9573 -28.9808 -29.0076 -29.0382 -29.0730 -29.1124 -29.1584 -29.2098 -29.2687 -29.3351 -29.4095 -29.4913 -29.5811 -29.6778 -29.7801 -29.8864 -29.9957 -30.1066 -30.2166 -30.3249 -30.4300 -30.5299 -30.6245 -30.7130 -30.7945 -30.8697 -30.9378 -30.9998 -31.0559 -31.1064 -31.1520 -31.1936 -31.2306 -31.2646 -31.2953 -31.3233 -31.3488 -31.3722 -31.3933 -31.4127 -31.4306 -31.4468 -31.4618 -31.4757 -31.4884 -31.5004 -31.5114 -31.5215 -31.5310 -31.5396 -31.5478 -31.5554 -31.5624 -31.5690 -31.5753 -31.5810 -31.5867 -31.5919 -31.5967 -31.6013 -31.6057
     0.750 -28.9728 -28.9901 -29.0087 -29.0297 -29.0532 -29.0800 -29.1106 -29.1454 -29.1848 -29.2308 -29.2822 -29.3411 -29.4075 -29.4819 -29.5636 -29.6534 -29.7502 -29.8524 -29.9587 -30.0680 -30.1789 -30.2889 -30.3971 -30.5022 -30.6021 -30.6967 -30.7851 -30.8666 -30.9419 -31.0100 -31.0719 -31.1280 -31.1784 -31.2241 -31.2657 -31.3027 -31.3366 -31.3674 -31.3954 -31.4209 -31.4443 -31.4654 -31.4847 -31.5027 -31.5189 -31.5339 -31.5478 -31.5605 -31.5725 -31.5834 -31.5936 -31.6030 -31.6117 -31.6199 -31.6274 -31.6344 -31.6410 -31.6474 -31.6531 -31.6588 -31.6640 -31.6688 -31.6734 -31.6778
     1.000 -29.0551 -29.0724 -29.0910 -29.1120 -29.1355 -29.1623 -29.1929 -29.2277 -29.2671 -29.3130 -29.3644 -29.4233 -29.4897 -29.5641 -29.6459 -29.7356 -29.8324 -29.9346 -30.0408 -30.1501 -30.2610 -30.3709 -30.4792 -30.5842 -30.6841 -30.7786 -30.8671 -30.9485 -31.0237 -31.0918 -31.1537 -31.2098 -31.2602 -31.3059 -31.3475 -31.3845 -31.4184 -31.4492 -31.4771 -31.5026 -31.5260 -31.5471 -31.5665 -31.5844 -31.6006 -31.6156 -31.6295 -31.6422 -31.6542 -31.6652 -31.6753 -31.6848 -31.6934 -31.7016 -31.7092 -31.7162 -31.7227 -31.7291 -31.7348 -31.7405 -31.7457 -31.7505 -31.7551 -31.7595
     1.280 -29.0833 -29.1006 -29.1192 -29.1402 -29.1637 -29.1905 -29.2211 -29.2559 -29.2953 -29.3412 -29.3926 -29.4515 -29.5179 -29.5923 -29.6740 -29.7637 -29.8604 -29.9627 -30.0689 -30.1781 -30.2889 -30.3989 -30.5071 -30.6120 -30.7119 -30.8064 -30.8948 -30.9762 -31.0514 -31.1194 -31.1813 -31.2374 -31.2878 -31.3334 -31.3750 -31.4120 -31.4460 -31.4767 -31.5047 -31.5301 -31.5535 -31.5747 -31.5940 -31.6119 -31.6281 -31.6432 -31.6570 -31.6697 -31.6818 -31.6927 -31.7028 -31.7123 -31.7210 -31.7291 -31.7367 -31.7437 -31.7503 -31.7567 -31.7624 -31.7681 -31.7732 -31.7780 -31.7826 -31.7870
     1.650 -29.0225 -29.0398 -29.0585 -29.0794 -29.1030 -29.1297 -29.1603 -29.1951 -29.2345 -29.2804 -29.3318 -29.3907 -29.4570 -29.5314 -29.6131 -29.7029 -29.7996 -29.9018 -30.0080 -30.1172 -30.2280 -30.3379 -30.4461 -30.5510 -30.6509 -30.7453 -30.8337 -30.9151 -30.9903 -31.0583 -31.1202 -31.1763 -31.2266 -31.2723 -31.3138 -31.3508 -31.3848 -31.4155 -31.4435 -31.4689 -31.4923 -31.5135 -31.5328 -31.5507 -31.5669 -31.5820 -31.5958 -31.6085 -31.6205 -31.6315 -31.6416 -31.6511 -31.6597 -31.6679 -31.6755 -31.6825 -31.6891 -31.6955 -31.7011 -31.7068 -31.7120 -31.7168 -31.7214 -31.7258
     2.120 -28.9036 -28.9209 -28.9396 -28.9605 -28.9841 -29.0108 -29.0414 -29.0762 -29.1156 -29.1615 -29.2129 -29.2718 -29.3382 -29.4125 -29.4943 -29.5840 -29.6807 -29.7829 -29.8891 -29.9983 -30.1091 -30.2190 -30.3272 -30.4321 -30.5320 -30.6264 -30.7148 -30.7962 -30.8713 -30.9394 -31.0013 -31.0573 -31.1077 -31.1533 -31.1949 -31.2319 -31.2658 -31.2966 -31.3245 -31.3500 -31.3734 -31.3945 -31.4139 -31.4318 -31.4480 -31.4630 -31.4769 -31.4896 -31.5016 -31.5126 -31.5227 -31.5322 -31.5408 -31.5490 -31.5566 -31.5636 -31.5701 -31.5765 -31.5822 -31.5879 -31.5931 -31.5979 -31.6025 -31.6069
     2.700 -28.8357 -28.8530 -28.8717 -28.8926 -28.9162 -28.9429 -28.9735 -29.0083 -29.0477 -29.0936 -29.1450 -29.2039 -29.2702 -29.3446 -29.4263 -29.5160 -29.6127 -29.7149 -29.8211 -29.9302 -30.0410 -30.1509 -30.2591 -30.3640 -30.4638 -30.5582 -30.6466 -30.7279 -30.8031 -30.8711 -30.9329 -30.9890 -31.0394 -31.0850 -31.1265 -31.1635 -31.1975 -31.2282 -31.2562 -31.2816 -31.3050 -31.3261 -31.3455 -31.3634 -31.3796 -31.3946 -31.4085 -31.4212 -31.4332 -31.4442 -31.4543 -31.4638 -31.4724 -31.4806 -31.4882 -31.4952 -31.5018 -31.5081 -31.5138 -31.5195 -31.5247 -31.5295 -31.5341 -31.5385
     3.200 -28.8086 -28.8259 -28.8445 -28.8655 -28.8890 -28.9158 -28.9463 -28.9811 -29.0205 -29.0664 -29.1178 -29.1766 -29.2430 -29.3173 -29.3990 -29.4887 -29.5854 -29.6875 -29.7936 -29.9028 -30.0135 -30.1234 -30.2315 -30.3363 -30.4361 -30.5304 -30.6187 -30.7001 -30.7752 -30.8431 -30.9050 -30.9610 -31.0114 -31.0569 -31.0985 -31.1355 -31.1694 -31.2001 -31.2281 -31.2536 -31.2769 -31.2981 -31.3174 -31.3353 -31.3515 -31.3666 -31.3804 -31.3931 -31.4051 -31.4161 -31.4262 -31.4357 -31.4444 -31.4525 -31.4601 -31.4671 -31.4737 -31.4801 -31.4858 -31.4914 -31.4966 -31.5014 -31.5060 -31.5104
     3.250 -28.8029 -28.8202 -28.8388 -28.8597 -28.8832 -28.9099 -28.9404 -28.9752 -29.0145 -29.0603 -29.1116 -29.1703 -29.2365 -29.3107 -29.3922 -29.4817 -29.5782 -29.6801 -29.7859 -29.8947 -30.0050 -30.1144 -30.2221 -30.3265 -30.4257 -30.5196 -30.6075 -30.6885 -30.7632 -30.8308 -30.8924 -30.9482 -30.9984 -31.0439 -31.0853 -31.1222 -31.1560 -31.1867 -31.2147 -31.2401 -31.2634 -31.2846 -31.3039 -31.3218 -31.3380 -31.3530 -31.3669 -31.3796 -31.3916 -31.4025 -31.4127 -31.4221 -31.4308 -31.4390 -31.4465 -31.4535 -31.4601 -31.4665 -31.4722 -31.4779 -31.4831 -31.4879 -31.4925 -31.4969
     3.300 -28.7832 -28.8003 -28.8187 -28.8393 -28.8626 -28.8889 -28.9190 -28.9533 -28.9921 -29.0373 -29.0879 -29.1458 -29.2111 -29.2841 -29.3644 -29.4524 -29.5470 -29.6470 -29.7506 -29.8569 -29.9645 -30.0710 -30.1755 -30.2767 -30.3729 -30.4637 -30.5486 -30.6269 -30.6992 -30.7649 -30.8247 -30.8791 -30.9282 -30.9727 -31.0134 -31.0498 -31.0832 -31.1136 -31.1413 -31.1665 -31.1897 -31.2107 -31.2300 -31.2478 -31.2640 -31.2790 -31.2928 -31.3055 -31.3175 -31.3284 -31.3386 -31.3480 -31.3567 -31.3648 -31.3724 -31.3794 -31.3860 -31.3924 -31.3981 -31.4037 -31.4089 -31.4137 -31.4183 -31.4227
     3.350 -28.8005 -28.8178 -28.8364 -28.8573 -28.8808 -28.9075 -28.9380 -28.9727 -29.0120 -29.0579 -29.1091 -29.1679 -29.2341 -29.3083 -29.3898 -29.4793 -29.5757 -29.6776 -29.7834 -29.8922 -30.0026 -30.1120 -30.2196 -30.3240 -30.4233 -30.5172 -30.6051 -30.6861 -30.7608 -30.8284 -30.8900 -30.9458 -30.9960 -31.0415 -31.0829 -31.1198 -31.1537 -31.1843 -31.2123 -31.2377 -31.2611 -31.2822 -31.3015 -31.3194 -31.3356 -31.3506 -31.3645 -31.3772 -31.3892 -31.4002 -31.4103 -31.4198 -31.4284 -31.4366 -31.4442 -31.4512 -31.4577 -31.4641 -31.4698 -31.4755 -31.4807 -31.4855 -31.4901 -31.4945
     3.500 -28.7989 -28.8162 -28.8349 -28.8558 -28.8794 -28.9061 -28.9366 -28.9715 -29.0108 -29.0567 -29.1081 -29.1669 -29.2333 -29.3076 -29.3893 -29.4789 -29.5756 -29.6777 -29.7838 -29.8929 -30.0036 -30.1135 -30.2215 -30.3263 -30.4260 -30.5204 -30.6086 -30.6899 -30.7650 -30.8329 -30.8948 -30.9508 -31.0011 -31.0467 -31.0882 -31.1252 -31.1591 -31.1898 -31.2178 -31.2433 -31.2666 -31.2878 -31.3071 -31.3250 -31.3412 -31.3563 -31.3701 -31.3828 -31.3948 -31.4058 -31.4159 -31.4254 -31.4340 -31.4422 -31.4498 -31.4568 -31.4634 -31.4698 -31.4754 -31.4811 -31.4863 -31.4911 -31.4957 -31.5001
     3.600 -28.7928 -28.8101 -28.8287 -28.8497 -28.8732 -28.8999 -28.9305 -28.9653 -29.0046 -29.0506 -29.1019 -29.1607 -29.2271 -29.3014 -29.3831 -29.4728 -29.5694 -29.6715 -29.7776 -29.8867 -29.9974 -30.1072 -30.2153 -30.3201 -30.4198 -30.5141 -30.6024 -30.6837 -30.7587 -30.8266 -30.8885 -30.9445 -30.9948 -31.0404 -31.0819 -31.1189 -31.1528 -31.1835 -31.2115 -31.2370 -31.2603 -31.2815 -31.3008 -31.3187 -31.3349 -31.3500 -31.3638 -31.3765 -31.3885 -31.3995 -31.4096 -31.4191 -31.4277 -31.4359 -31.4435 -31.4505 -31.4571 -31.4634 -31.4691 -31.4748 -31.4800 -31.4848 -31.4894 -31.4938
     4.500 -28.8078 -28.8251 -28.8438 -28.8647 -28.8882 -28.9149 -28.9455 -28.9803 -29.0196 -29.0655 -29.1168 -29.1756 -29.2419 -29.3162 -29.3978 -29.4875 -29.5840 -29.6861 -29.7921 -29.9011 -30.0117 -30.1214 -30.2293 -30.3340 -30.4336 -30.5278 -30.6160 -30.6971 -30.7721 -30.8399 -30.9017 -30.9576 -31.0079 -31.0535 -31.0950 -31.1319 -31.1658 -31.1965 -31.2245 -31.2499 -31.2733 -31.2944 -31.3138 -31.3317 -31.3479 -31.3629 -31.3768 -31.3895 -31.4015 -31.4124 -31.4226 -31.4320 -31.4407 -31.4489 -31.4564 -31.4634 -31.4700 -31.4764 -31.4821 -31.4878 -31.4930 -31.4978 -31.5024 -31.5068
     5.000 -28.8219 -28.8392 -28.8578 -28.8787 -28.9022 -28.9289 -28.9594 -28.9942 -29.0335 -29.0794 -29.1307 -29.1894 -29.2557 -29.3299 -29.4115 -29.5010 -29.5975 -29.6995 -29.8054 -29.9142 -30.0247 -30.1342 -30.2420 -30.3465 -30.4459 -30.5399 -30.6279 -30.7089 -30.7837 -30.8514 -30.9131 -30.9690 -31.0192 -31.0647 -31.1061 -31.1431 -31.1769 -31.2076 -31.2356 -31.2610 -31.2844 -31.3055 -31.3248 -31.3427 -31.3589 -31.3740 -31.3878 -31.4005 -31.4125 -31.4235 -31.4336 -31.4431 -31.4517 -31.4599 -31.4675 -31.4745 -31.4811 -31.4874 -31.4931 -31.4988 -31.5040 -31.5088 -31.5134 -31.5178
     5.120 -28.8222 -28.8394 -28.8580 -28.8788 -28.9023 -28.9289 -28.9593 -28.9940 -29.0332 -29.0789 -29.1301 -29.1887 -29.2547 -29.3287 -29.4100 -29.4992 -29.5953 -29.6968 -29.8022 -29.9106 -30.0204 -30.1293 -30.2363 -30.3401 -30.4388 -30.5321 -30.6194 -30.6999 -30.7741 -30.8414 -30.9026 -30.9581 -31.0081 -31.0534 -31.0947 -31.1315 -31.1652 -31.1958 -31.2237 -31.2491 -31.2724 -31.2935 -31.3129 -31.3308 -31.3469 -31.3620 -31.3758 -31.3885 -31.4005 -31.4115 -31.4216 -31.4311 -31.4397 -31.4479 -31.4555 -31.4625 -31.4691 -31.4754 -31.4811 -31.4868 -31.4920 -31.4968 -31.5014 -31.5058
     5.140 -28.8234 -28.8407 -28.8593 -28.8801 -28.9036 -28.9302 -28.9607 -28.9954 -29.0346 -29.0804 -29.1315 -29.1902 -29.2562 -29.3303 -29.4116 -29.5009 -29.5971 -29.6987 -29.8042 -29.9127 -30.0226 -30.1316 -30.2388 -30.3428 -30.4416 -30.5351 -30.6225 -30.7031 -30.7774 -30.8448 -30.9061 -30.9617 -31.0117 -31.0570 -31.0984 -31.1352 -31.1690 -31.1996 -31.2275 -31.2529 -31.2762 -31.2973 -31.3167 -31.3346 -31.3507 -31.3658 -31.3796 -31.3923 -31.4043 -31.4153 -31.4254 -31.4349 -31.4435 -31.4517 -31.4593 -31.4663 -31.4729 -31.4792 -31.4849 -31.4906 -31.4958 -31.5006 -31.5052 -31.5096
